	Degraded	Empty	Vegetated	b	flowlength	qminusminus	qminusplus	qplusplus
0	8006	1023	971	0.13285166887698038	17.83215110246156	0.9028685347214531	0.8053553038105047	0.09680741503604531
1	7525	1579	896	0.3327884474781559	4.486371130833096	0.9116322495606327	0.607421875	0.10212053571428571
2	7340	1757	903	0.32634716693725707	4.916326606938092	0.9160712322743761	0.5119047619047619	0.15448504983388706
3	7227	1881	892	0.32302781736894315	5.137893190623045	0.9201251646903821	0.445347533632287	0.1844170403587444
4	7193	1906	901	0.31957208453677205	5.368563357170466	0.9222442026596329	0.41453940066592676	0.21476137624861266
5	7201	1926	873	0.317779359413552	5.488227759145406	0.9265366495014792	0.39375715922107674	0.23195876288659795
6	7261	1877	862	0.3134491514465645	5.777269140941819	0.9292514773473408	0.38254060324825984	0.25
7	7297	1836	867	0.3105549340319634	5.970458153366446	0.9305266615569912	0.3679354094579008	0.2681660899653979
8	7361	1800	839	0.30923336162416826	6.058673111586768	0.9334133828184696	0.3593563766388558	0.2729439809296782
9	7403	1768	829	0.30568772030950486	6.29534466934055	0.9347944608003489	0.3585645355850422	0.27864897466827504
10	7439	1710	851	0.30393867750629333	6.4120932764549226	0.935238823915182	0.3537015276145711	0.3037602820211516
11	7420	1722	858	0.30362899590682524	6.432764523219414	0.9354626996280901	0.33624708624708627	0.3123543123543124
12	7445	1720	835	0.30342860091597484	6.446140888858678	0.9372067648663394	0.3326347305389222	0.31077844311377245
13	7496	1660	844	0.3009922265432867	6.608768878235614	0.9375273044997816	0.3353080568720379	0.3222748815165877
14	7508	1656	836	0.300676339017959	6.6298543705512385	0.9388913138367525	0.32595693779904306	0.33014354066985646
15	7557	1613	830	0.29879250799376883	6.755600091415933	0.9399127589967284	0.31987951807228915	0.336144578313253
16	7577	1591	832	0.29733845949635834	6.852657828618081	0.9404995636998255	0.31850961538461536	0.34435096153846156
17	7579	1600	821	0.296547241783191	6.905471610972004	0.9405708682863057	0.3209500609013398	0.33556638246041415
18	7601	1571	828	0.29632329434714516	6.92042010232806	0.9402529437418229	0.31672705314009664	0.33816425120772947
19	7640	1538	822	0.29684568826967767	6.885550307999014	0.9407278274133798	0.31052311435523117	0.3381995133819951
20	7650	1533	817	0.29611423274414905	6.93437496432805	0.9415768267450724	0.30660954712362304	0.3433292533659731
21	7681	1535	784	0.29484943162635496	7.018800438940804	0.9439561631944444	0.31058673469387754	0.34119897959183676
22	7752	1467	781	0.2909262017574565	7.280676032689779	0.9444082872328886	0.31882202304737517	0.3437900128040973
23	7790	1452	758	0.29019110606352305	7.329743670259838	0.9456827526509414	0.32981530343007914	0.33773087071240104
24	7804	1459	737	0.2878936273932868	7.483100371498109	0.9468314800820469	0.31546811397557667	0.33175033921302577
25	7798	1443	759	0.4	7.62621215614042	0.9456768747970998	0.31653491436100134	0.3386034255599473
26	7850	1374	776	0.4	7.481657045947631	0.945847788378144	0.31572164948453607	0.35631443298969073
27	7865	1351	784	0.4	7.48632581482796	0.9450954861111112	0.31919642857142855	0.35459183673469385
